[0x00000001097CE080]	Lighting_Capture_Other_C Lighting_OtherLight_GEN_VARIABLE_Lighting_Capture_Other_C_CAT_2147480093
[0x00000001097CDD00]	Lighting_Capture_Accessory_C Lighting_AccessoryLight_GEN_VARIABLE_Lighting_Capture_Accessory_C_CAT_2147480092
[0x00000001097CD980]	Lighting_Capture_Other_C Lighting_DefaultLight_GEN_VARIABLE_Lighting_Capture_Other_C_CAT_2147480091
[0x00000001097CD600]	Lighting_WeaponShare_Blueprint_C Lighting_WeaponShare_Blueprint_GEN_VARIABLE_Lighting_WeaponShare_Blueprint_C_CAT_2147480090
[0x00000000EE394D80]	CAAssembleEnvironment_Uam_C CAAssembleEnvironment_Uam_C_2147480089
[0x00000001097CCF00]	Lighting_Capture_Cloth_C Lighting_Cloth_Actor_Blueprint_GEN_VARIABLE_Lighting_Cloth_Actor_Blueprint_C_CAT_2147480088
[0x00000001097CCB80]	Lighting_Capture_Weapon_C Lighting_Capture_Weapone_GEN_VARIABLE_Lighting_Capture_Weapone_C_CAT_2147480087
[0x00000001097CC800]	Lighting_Capture_Other_C Lighting_OtherLight_GEN_VARIABLE_Lighting_Capture_Other_C_CAT_2147480086
[0x00000001097CC480]	Lighting_Capture_Accessory_C Lighting_AccessoryLight_GEN_VARIABLE_Lighting_Capture_Accessory_C_CAT_2147480085
[0x00000001097CC100]	Lighting_Capture_Other_C Lighting_DefaultLight_GEN_VARIABLE_Lighting_Capture_Other_C_CAT_2147480084
[0x00000001097CBD80]	Lighting_WeaponShare_Blueprint_C Lighting_WeaponShare_Blueprint_GEN_VARIABLE_Lighting_WeaponShare_Blueprint_C_CAT_2147480083
[0x00000001038E2740]	CAAssembleEnvironment_Uam_C CAAssembleEnvironment_Uam_C_2147480082
[0x00000001097CB680]	Lighting_Capture_Cloth_C Lighting_Cloth_Actor_Blueprint_GEN_VARIABLE_Lighting_Cloth_Actor_Blueprint_C_CAT_2147480081
[0x00000001097CB300]	Lighting_Capture_Weapon_C Lighting_Capture_Weapone_GEN_VARIABLE_Lighting_Capture_Weapone_C_CAT_2147480080
[0x00000001097CAF80]	Lighting_Capture_Other_C Lighting_OtherLight_GEN_VARIABLE_Lighting_Capture_Other_C_CAT_2147480079
[0x00000001097CAC00]	Lighting_Capture_Accessory_C Lighting_AccessoryLight_GEN_VARIABLE_Lighting_Capture_Accessory_C_CAT_2147480078
[0x00000001927D9700]	Lighting_Capture_Other_C Lighting_DefaultLight_GEN_VARIABLE_Lighting_Capture_Other_C_CAT_2147480077
[0x00000001097CA880]	Lighting_WeaponShare_Blueprint_C Lighting_WeaponShare_Blueprint_GEN_VARIABLE_Lighting_WeaponShare_Blueprint_C_CAT_2147480076
[0x00000001016A1A80]	CAAssembleEnvironment_Uam_C CAAssembleEnvironment_Uam_C_2147480075
[0x00000001097CA180]	Lighting_Capture_Cloth_C Lighting_Cloth_Actor_Blueprint_GEN_VARIABLE_Lighting_Cloth_Actor_Blueprint_C_CAT_2147480074
[0x00000001097C9E00]	Lighting_Capture_Weapon_C Lighting_Capture_Weapone_GEN_VARIABLE_Lighting_Capture_Weapone_C_CAT_2147480073
[0x00000001097C9A80]	Lighting_Capture_Other_C Lighting_OtherLight_GEN_VARIABLE_Lighting_Capture_Other_C_CAT_2147480072
[0x00000001097C9700]	Lighting_Capture_Accessory_C Lighting_AccessoryLight_GEN_VARIABLE_Lighting_Capture_Accessory_C_CAT_2147480071
